Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Comments,Sentiment Score,Sentiment Label
7,9,4,8,9,4,10,2,The course was excellent and well-organized.,1.0,Positive
5,6,6,10,3,4,2,8,I didn’t understand the assignments well.,0.0,Neutral
6,3,8,10,6,8,7,9,The instructor was very helpful.,0.2,Positive
9,8,6,10,10,7,7,8,Could use more real-world examples.,0.5,Positive
5,9,4,3,8,10,4,2,"Loved the content, very engaging!",0.675,Positive
6,8,5,4,5,5,10,6,The course was excellent and well-organized.,1.0,Positive
10,7,6,10,4,4,2,4,I didn’t understand the assignments well.,0.0,Neutral
6,7,5,3,6,6,7,5,The instructor was very helpful.,0.2,Positive
7,2,7,5,2,1,3,7,Could use more real-world examples.,0.5,Positive
6,3,6,10,7,4,3,3,"Loved the content, very engaging!",0.675,Positive
7,6,8,9,9,8,9,10,The course was excellent and well-organized.,1.0,Positive
5,10,6,7,4,2,5,4,I didn’t understand the assignments well.,0.0,Neutral
10,7,8,4,6,5,7,8,The instructor was very helpful.,0.2,Positive
9,3,4,7,3,8,6,8,Could use more real-world examples.,0.5,Positive
9,2,6,1,2,10,5,5,"Loved the content, very engaging!",0.675,Positive
6,5,4,9,2,5,10,7,The course was excellent and well-organized.,1.0,Positive
6,6,6,8,9,4,4,8,I didn’t understand the assignments well.,0.0,Neutral
9,6,8,1,8,2,5,6,The instructor was very helpful.,0.2,Positive
8,2,8,8,2,6,5,4,Could use more real-world examples.,0.5,Positive
9,10,4,7,7,3,5,4,"Loved the content, very engaging!",0.675,Positive
5,2,5,5,7,9,4,3,The course was excellent and well-organized.,1.0,Positive
9,10,8,9,1,3,1,9,I didn’t understand the assignments well.,0.0,Neutral
7,6,4,1,5,6,1,8,The instructor was very helpful.,0.2,Positive
10,10,7,5,2,6,10,5,Could use more real-world examples.,0.5,Positive
10,7,5,7,8,9,3,4,"Loved the content, very engaging!",0.675,Positive
5,2,6,7,3,2,10,1,The course was excellent and well-organized.,1.0,Positive
9,7,5,5,10,10,5,1,I didn’t understand the assignments well.,0.0,Neutral
8,6,5,6,3,8,2,6,The instructor was very helpful.,0.2,Positive
10,10,8,3,9,6,4,8,Could use more real-world examples.,0.5,Positive
6,8,4,5,5,9,5,4,"Loved the content, very engaging!",0.675,Positive
5,2,5,8,6,5,4,9,The course was excellent and well-organized.,1.0,Positive
5,9,8,2,4,8,9,10,I didn’t understand the assignments well.,0.0,Neutral
9,3,4,6,5,3,8,7,The instructor was very helpful.,0.2,Positive
7,9,5,9,4,5,4,8,Could use more real-world examples.,0.5,Positive
8,8,6,9,7,4,6,1,"Loved the content, very engaging!",0.675,Positive
5,8,8,9,6,9,10,6,The course was excellent and well-organized.,1.0,Positive
7,2,5,1,5,10,5,6,I didn’t understand the assignments well.,0.0,Neutral
7,10,6,7,9,10,1,3,The instructor was very helpful.,0.2,Positive
9,9,8,7,5,4,5,5,Could use more real-world examples.,0.5,Positive
5,5,8,8,9,6,9,8,"Loved the content, very engaging!",0.675,Positive
8,6,5,5,2,6,5,8,The course was excellent and well-organized.,1.0,Positive
9,10,6,4,9,6,7,8,I didn’t understand the assignments well.,0.0,Neutral
8,4,7,1,4,7,1,4,The instructor was very helpful.,0.2,Positive
5,8,5,6,10,3,4,10,Could use more real-world examples.,0.5,Positive
10,4,7,6,1,2,5,1,"Loved the content, very engaging!",0.675,Positive
10,6,5,6,2,10,3,8,The course was excellent and well-organized.,1.0,Positive
10,4,4,1,10,1,10,10,I didn’t understand the assignments well.,0.0,Neutral
8,3,7,7,9,6,7,5,The instructor was very helpful.,0.2,Positive
6,4,4,4,7,5,5,2,Could use more real-world examples.,0.5,Positive
10,6,4,9,3,1,6,7,"Loved the content, very engaging!",0.675,Positive
9,7,4,8,2,6,3,9,The course was excellent and well-organized.,1.0,Positive
6,4,6,6,6,4,9,10,I didn’t understand the assignments well.,0.0,Neutral
10,6,5,2,1,9,9,6,The instructor was very helpful.,0.2,Positive
6,3,6,7,8,7,4,1,Could use more real-world examples.,0.5,Positive
10,7,8,1,3,3,3,3,"Loved the content, very engaging!",0.675,Positive
8,7,6,2,9,4,1,7,The course was excellent and well-organized.,1.0,Positive
7,4,6,5,4,7,8,7,I didn’t understand the assignments well.,0.0,Neutral
10,7,7,4,7,10,7,1,The instructor was very helpful.,0.2,Positive
10,4,7,7,2,2,5,9,Could use more real-world examples.,0.5,Positive
9,3,7,2,9,7,3,1,"Loved the content, very engaging!",0.675,Positive
10,2,8,5,6,3,8,5,The course was excellent and well-organized.,1.0,Positive
6,2,6,3,5,3,8,6,I didn’t understand the assignments well.,0.0,Neutral
9,2,5,10,4,4,9,1,The instructor was very helpful.,0.2,Positive
8,8,5,6,6,8,2,2,Could use more real-world examples.,0.5,Positive
8,4,8,9,7,1,7,3,"Loved the content, very engaging!",0.675,Positive
10,2,6,1,1,9,9,7,The course was excellent and well-organized.,1.0,Positive
6,4,8,5,9,5,7,10,I didn’t understand the assignments well.,0.0,Neutral
5,7,7,3,1,6,3,1,The instructor was very helpful.,0.2,Positive
9,8,6,9,6,3,5,8,Could use more real-world examples.,0.5,Positive
8,5,7,10,8,9,10,1,"Loved the content, very engaging!",0.675,Positive
6,3,4,9,7,8,7,6,The course was excellent and well-organized.,1.0,Positive
7,6,6,1,6,6,6,9,I didn’t understand the assignments well.,0.0,Neutral
10,10,5,10,1,9,3,8,The instructor was very helpful.,0.2,Positive
8,8,4,1,10,10,9,1,Could use more real-world examples.,0.5,Positive
9,6,4,1,4,7,9,5,"Loved the content, very engaging!",0.675,Positive
6,2,6,2,2,10,2,2,The course was excellent and well-organized.,1.0,Positive
5,9,7,1,9,9,1,9,I didn’t understand the assignments well.,0.0,Neutral
7,9,6,7,4,8,1,2,The instructor was very helpful.,0.2,Positive
8,7,5,3,9,1,4,5,Could use more real-world examples.,0.5,Positive
10,9,4,8,5,2,3,10,"Loved the content, very engaging!",0.675,Positive
9,8,5,5,6,2,10,4,The course was excellent and well-organized.,1.0,Positive
9,3,6,4,4,8,10,1,I didn’t understand the assignments well.,0.0,Neutral
10,3,4,3,10,1,8,5,The instructor was very helpful.,0.2,Positive
9,10,6,1,6,1,9,2,Could use more real-world examples.,0.5,Positive
8,5,8,7,6,1,9,9,"Loved the content, very engaging!",0.675,Positive
6,5,6,5,7,2,10,8,The course was excellent and well-organized.,1.0,Positive
9,8,6,5,3,10,6,6,I didn’t understand the assignments well.,0.0,Neutral
7,9,7,1,10,10,3,10,The instructor was very helpful.,0.2,Positive
6,8,4,6,9,6,8,7,Could use more real-world examples.,0.5,Positive
7,4,4,3,7,8,7,10,"Loved the content, very engaging!",0.675,Positive
6,5,6,10,8,7,8,4,The course was excellent and well-organized.,1.0,Positive
8,5,8,6,6,1,8,4,I didn’t understand the assignments well.,0.0,Neutral
5,5,6,5,7,3,9,5,The instructor was very helpful.,0.2,Positive
5,9,6,9,4,4,2,6,Could use more real-world examples.,0.5,Positive
7,10,8,3,3,4,1,2,"Loved the content, very engaging!",0.675,Positive
6,6,8,5,1,2,2,8,The course was excellent and well-organized.,1.0,Positive
6,2,7,5,1,10,9,10,I didn’t understand the assignments well.,0.0,Neutral
9,4,4,2,4,8,1,6,The instructor was very helpful.,0.2,Positive
6,9,8,5,10,6,2,10,Could use more real-world examples.,0.5,Positive
10,10,5,7,10,7,7,10,"Loved the content, very engaging!",0.675,Positive
9,6,8,10,3,2,8,4,The course was excellent and well-organized.,1.0,Positive
8,4,4,1,6,9,6,1,I didn’t understand the assignments well.,0.0,Neutral
5,5,5,6,1,3,10,5,The instructor was very helpful.,0.2,Positive
9,8,6,1,2,9,8,2,Could use more real-world examples.,0.5,Positive
10,5,7,7,5,10,6,5,"Loved the content, very engaging!",0.675,Positive
9,4,8,1,8,6,2,4,The course was excellent and well-organized.,1.0,Positive
8,3,8,9,9,1,6,1,I didn’t understand the assignments well.,0.0,Neutral
8,3,4,8,3,2,2,3,The instructor was very helpful.,0.2,Positive
10,10,4,8,2,2,4,7,Could use more real-world examples.,0.5,Positive
6,8,7,5,4,1,9,3,"Loved the content, very engaging!",0.675,Positive
8,5,7,9,1,10,1,2,The course was excellent and well-organized.,1.0,Positive
7,8,5,6,5,10,5,10,I didn’t understand the assignments well.,0.0,Neutral
10,7,6,8,9,5,1,1,The instructor was very helpful.,0.2,Positive
7,7,8,4,2,1,5,10,Could use more real-world examples.,0.5,Positive
8,8,4,8,2,4,9,2,"Loved the content, very engaging!",0.675,Positive
9,8,7,2,9,6,3,7,The course was excellent and well-organized.,1.0,Positive
8,9,4,4,8,4,8,1,I didn’t understand the assignments well.,0.0,Neutral
9,3,4,9,3,4,5,1,The instructor was very helpful.,0.2,Positive
6,2,6,1,9,3,9,2,Could use more real-world examples.,0.5,Positive
8,2,6,10,7,2,4,8,"Loved the content, very engaging!",0.675,Positive
6,5,4,4,8,6,8,9,The course was excellent and well-organized.,1.0,Positive
8,3,6,6,7,10,8,4,I didn’t understand the assignments well.,0.0,Neutral
8,6,7,5,1,4,3,9,The instructor was very helpful.,0.2,Positive
10,2,6,7,4,10,1,3,Could use more real-world examples.,0.5,Positive
7,4,4,2,8,6,7,4,"Loved the content, very engaging!",0.675,Positive
5,2,8,3,5,10,7,7,The course was excellent and well-organized.,1.0,Positive
10,5,8,7,9,7,2,7,I didn’t understand the assignments well.,0.0,Neutral
7,6,5,3,9,5,5,2,The instructor was very helpful.,0.2,Positive
10,10,6,5,2,9,9,9,Could use more real-world examples.,0.5,Positive
8,7,6,3,9,10,6,1,"Loved the content, very engaging!",0.675,Positive
5,10,8,10,6,4,6,4,The course was excellent and well-organized.,1.0,Positive
5,8,6,10,4,5,5,9,I didn’t understand the assignments well.,0.0,Neutral
7,7,5,8,6,9,9,8,The instructor was very helpful.,0.2,Positive
9,3,4,5,2,2,1,6,Could use more real-world examples.,0.5,Positive
8,3,5,9,10,3,1,6,"Loved the content, very engaging!",0.675,Positive
8,4,7,5,4,4,10,6,The course was excellent and well-organized.,1.0,Positive
10,4,7,1,6,7,7,4,I didn’t understand the assignments well.,0.0,Neutral
10,2,8,7,9,8,1,4,The instructor was very helpful.,0.2,Positive
5,2,7,2,3,6,1,9,Could use more real-world examples.,0.5,Positive
10,5,4,4,3,7,4,10,"Loved the content, very engaging!",0.675,Positive
6,8,6,7,9,7,2,5,The course was excellent and well-organized.,1.0,Positive
10,7,5,3,3,6,4,6,I didn’t understand the assignments well.,0.0,Neutral
5,8,7,6,10,8,9,5,The instructor was very helpful.,0.2,Positive
5,4,7,9,6,10,5,9,Could use more real-world examples.,0.5,Positive
10,6,8,3,7,8,4,5,"Loved the content, very engaging!",0.675,Positive
10,7,4,4,4,9,10,7,The course was excellent and well-organized.,1.0,Positive
7,3,6,9,10,8,3,5,I didn’t understand the assignments well.,0.0,Neutral
5,7,7,9,6,3,10,3,The instructor was very helpful.,0.2,Positive
6,2,4,5,9,7,7,7,Could use more real-world examples.,0.5,Positive
10,2,8,9,2,3,3,1,"Loved the content, very engaging!",0.675,Positive
9,6,4,5,3,3,6,6,The course was excellent and well-organized.,1.0,Positive
5,6,6,2,1,9,5,8,I didn’t understand the assignments well.,0.0,Neutral
7,5,8,3,4,3,1,10,The instructor was very helpful.,0.2,Positive
5,7,5,6,9,9,10,6,Could use more real-world examples.,0.5,Positive
8,3,5,1,8,1,8,9,"Loved the content, very engaging!",0.675,Positive
6,3,5,6,1,6,6,10,The course was excellent and well-organized.,1.0,Positive
6,9,8,4,2,6,10,6,I didn’t understand the assignments well.,0.0,Neutral
9,4,4,3,8,5,10,1,The instructor was very helpful.,0.2,Positive
10,10,4,7,8,7,6,2,Could use more real-world examples.,0.5,Positive
6,6,5,2,3,6,6,3,"Loved the content, very engaging!",0.675,Positive
10,10,8,7,6,10,6,4,The course was excellent and well-organized.,1.0,Positive
6,4,4,9,5,8,8,2,I didn’t understand the assignments well.,0.0,Neutral
7,3,8,1,5,9,7,2,The instructor was very helpful.,0.2,Positive
5,7,6,6,5,6,4,6,Could use more real-world examples.,0.5,Positive
9,9,7,9,1,9,4,3,"Loved the content, very engaging!",0.675,Positive
9,8,6,7,1,2,7,6,The course was excellent and well-organized.,1.0,Positive
7,3,6,3,5,3,3,10,I didn’t understand the assignments well.,0.0,Neutral
10,10,7,4,1,2,3,9,The instructor was very helpful.,0.2,Positive
6,10,4,4,4,8,4,6,Could use more real-world examples.,0.5,Positive
5,6,7,7,2,2,5,7,"Loved the content, very engaging!",0.675,Positive
7,9,6,9,1,7,1,2,The course was excellent and well-organized.,1.0,Positive
8,8,8,6,1,4,9,1,I didn’t understand the assignments well.,0.0,Neutral
10,8,4,10,1,5,6,2,The instructor was very helpful.,0.2,Positive
10,4,4,1,3,4,7,9,Could use more real-world examples.,0.5,Positive
6,7,4,1,9,8,8,7,"Loved the content, very engaging!",0.675,Positive
7,8,5,6,7,7,6,7,The course was excellent and well-organized.,1.0,Positive
6,2,5,8,9,6,3,7,I didn’t understand the assignments well.,0.0,Neutral
8,9,7,3,1,8,9,7,The instructor was very helpful.,0.2,Positive
8,5,7,3,10,4,6,7,Could use more real-world examples.,0.5,Positive
9,8,7,2,4,7,2,6,"Loved the content, very engaging!",0.675,Positive
5,9,5,2,4,5,6,6,The course was excellent and well-organized.,1.0,Positive
10,4,8,5,4,6,4,7,I didn’t understand the assignments well.,0.0,Neutral
8,6,4,6,4,7,10,1,The instructor was very helpful.,0.2,Positive
5,10,6,8,4,4,4,5,Could use more real-world examples.,0.5,Positive
6,10,5,7,2,5,10,10,"Loved the content, very engaging!",0.675,Positive
5,2,6,2,4,5,1,4,The course was excellent and well-organized.,1.0,Positive
6,2,4,6,6,2,6,9,I didn’t understand the assignments well.,0.0,Neutral
10,8,6,1,3,5,8,10,The instructor was very helpful.,0.2,Positive
7,7,8,1,6,1,2,1,Could use more real-world examples.,0.5,Positive
8,2,5,2,4,9,7,8,"Loved the content, very engaging!",0.675,Positive
10,7,4,3,6,1,10,4,The course was excellent and well-organized.,1.0,Positive
5,10,5,10,8,4,8,4,I didn’t understand the assignments well.,0.0,Neutral
7,7,5,3,8,9,8,9,The instructor was very helpful.,0.2,Positive
8,6,7,5,6,4,3,8,Could use more real-world examples.,0.5,Positive
7,9,4,1,2,8,10,4,"Loved the content, very engaging!",0.675,Positive
9,8,7,1,7,6,9,4,The course was excellent and well-organized.,1.0,Positive
10,2,6,9,7,5,10,9,I didn’t understand the assignments well.,0.0,Neutral
5,6,5,2,8,6,9,8,The instructor was very helpful.,0.2,Positive
7,10,7,6,6,8,4,9,Could use more real-world examples.,0.5,Positive
5,8,4,9,3,10,1,3,"Loved the content, very engaging!",0.675,Positive
9,3,8,10,2,7,5,1,The course was excellent and well-organized.,1.0,Positive
8,10,6,8,2,1,5,1,I didn’t understand the assignments well.,0.0,Neutral
9,2,8,8,1,9,1,2,The instructor was very helpful.,0.2,Positive
8,8,6,3,9,5,7,2,Could use more real-world examples.,0.5,Positive
10,9,8,9,4,8,7,9,"Loved the content, very engaging!",0.675,Positive
10,6,4,8,2,9,9,3,The course was excellent and well-organized.,1.0,Positive
8,7,5,10,8,3,8,6,I didn’t understand the assignments well.,0.0,Neutral
6,9,4,1,4,10,10,9,The instructor was very helpful.,0.2,Positive
10,8,7,4,8,2,1,10,Could use more real-world examples.,0.5,Positive
7,2,6,5,2,3,8,7,"Loved the content, very engaging!",0.675,Positive
5,3,5,6,5,10,3,6,The course was excellent and well-organized.,1.0,Positive
9,6,5,9,2,3,9,3,I didn’t understand the assignments well.,0.0,Neutral
5,10,4,8,7,6,8,3,The instructor was very helpful.,0.2,Positive
5,6,8,7,2,7,1,10,Could use more real-world examples.,0.5,Positive
7,2,7,6,6,3,7,2,"Loved the content, very engaging!",0.675,Positive
10,9,7,10,4,8,5,4,The course was excellent and well-organized.,1.0,Positive
8,7,5,10,1,1,8,1,I didn’t understand the assignments well.,0.0,Neutral
8,8,5,8,6,6,9,4,The instructor was very helpful.,0.2,Positive
6,3,5,4,7,1,5,5,Could use more real-world examples.,0.5,Positive
9,10,5,9,6,4,7,7,"Loved the content, very engaging!",0.675,Positive
7,4,5,3,1,8,10,2,The course was excellent and well-organized.,1.0,Positive
7,2,5,8,1,1,8,8,I didn’t understand the assignments well.,0.0,Neutral
6,3,4,2,8,5,8,5,The instructor was very helpful.,0.2,Positive
9,10,8,4,9,3,8,2,Could use more real-world examples.,0.5,Positive
7,2,7,1,7,7,1,7,"Loved the content, very engaging!",0.675,Positive
8,10,8,10,6,7,7,7,The course was excellent and well-organized.,1.0,Positive
9,3,7,6,10,7,9,7,I didn’t understand the assignments well.,0.0,Neutral
5,10,4,1,4,8,9,1,The instructor was very helpful.,0.2,Positive
6,5,4,9,1,2,3,6,Could use more real-world examples.,0.5,Positive
6,6,6,9,10,4,6,7,"Loved the content, very engaging!",0.675,Positive
5,4,6,4,4,7,7,9,The course was excellent and well-organized.,1.0,Positive
5,10,6,4,2,10,4,6,I didn’t understand the assignments well.,0.0,Neutral
10,3,8,4,1,10,7,9,The instructor was very helpful.,0.2,Positive
6,6,4,2,10,10,1,9,Could use more real-world examples.,0.5,Positive
8,9,8,6,2,7,9,10,"Loved the content, very engaging!",0.675,Positive
6,3,6,7,6,6,2,6,The course was excellent and well-organized.,1.0,Positive
10,7,4,6,10,5,3,6,I didn’t understand the assignments well.,0.0,Neutral
5,5,4,8,3,6,6,8,The instructor was very helpful.,0.2,Positive
8,10,5,6,10,8,2,2,Could use more real-world examples.,0.5,Positive
9,9,8,2,3,1,8,6,"Loved the content, very engaging!",0.675,Positive
6,7,5,5,4,7,1,9,The course was excellent and well-organized.,1.0,Positive
10,8,7,8,1,9,5,10,I didn’t understand the assignments well.,0.0,Neutral
6,9,6,4,1,2,8,4,The instructor was very helpful.,0.2,Positive
6,6,6,3,5,9,8,3,Could use more real-world examples.,0.5,Positive
7,2,7,8,6,4,2,9,"Loved the content, very engaging!",0.675,Positive
6,10,4,6,1,2,4,10,The course was excellent and well-organized.,1.0,Positive
6,4,4,6,5,10,10,2,I didn’t understand the assignments well.,0.0,Neutral
9,7,7,10,7,8,6,4,The instructor was very helpful.,0.2,Positive
9,8,5,3,3,10,7,2,Could use more real-world examples.,0.5,Positive
7,4,4,5,3,10,2,1,"Loved the content, very engaging!",0.675,Positive
8,7,7,1,4,7,10,9,The course was excellent and well-organized.,1.0,Positive
6,6,6,10,7,5,7,8,I didn’t understand the assignments well.,0.0,Neutral
10,8,8,4,6,3,10,4,The instructor was very helpful.,0.2,Positive
10,6,6,6,4,10,2,9,Could use more real-world examples.,0.5,Positive
10,6,5,4,6,10,8,2,"Loved the content, very engaging!",0.675,Positive
8,2,8,4,6,2,4,7,The course was excellent and well-organized.,1.0,Positive
5,10,4,8,3,7,4,5,I didn’t understand the assignments well.,0.0,Neutral
8,9,7,10,6,7,7,6,The instructor was very helpful.,0.2,Positive
9,8,5,3,10,1,8,3,Could use more real-world examples.,0.5,Positive
9,3,6,2,3,8,10,7,"Loved the content, very engaging!",0.675,Positive
10,5,7,8,1,5,10,4,The course was excellent and well-organized.,1.0,Positive
7,4,8,5,7,9,2,6,I didn’t understand the assignments well.,0.0,Neutral
6,9,4,6,8,8,3,8,The instructor was very helpful.,0.2,Positive
9,2,5,8,10,9,7,6,Could use more real-world examples.,0.5,Positive
7,4,8,2,3,6,8,4,"Loved the content, very engaging!",0.675,Positive
5,4,4,4,8,10,5,5,The course was excellent and well-organized.,1.0,Positive
10,10,5,8,5,10,7,8,I didn’t understand the assignments well.,0.0,Neutral
7,3,7,6,4,2,1,10,The instructor was very helpful.,0.2,Positive
10,9,6,4,7,6,8,3,Could use more real-world examples.,0.5,Positive
8,7,6,4,8,7,3,2,"Loved the content, very engaging!",0.675,Positive
5,6,7,9,7,8,6,1,The course was excellent and well-organized.,1.0,Positive
8,7,7,3,4,1,4,7,I didn’t understand the assignments well.,0.0,Neutral
7,2,6,5,7,7,6,10,The instructor was very helpful.,0.2,Positive
6,3,7,1,5,4,9,4,Could use more real-world examples.,0.5,Positive
6,8,4,6,1,3,2,7,"Loved the content, very engaging!",0.675,Positive
6,9,6,1,3,3,5,8,The course was excellent and well-organized.,1.0,Positive
